feature_names,weights,absolute_weights
EOGGr5_CACR_Hispanic,-0.00026477028538258876,0.00026477028538258876
EOCMathI_GLP_LEP,-0.00025838656874596286,0.00025838656874596286
EOGScienceGr5_CACR_SWD,-0.00025393238872056367,0.00025393238872056367
EOGMathGr3_GLP_SWD,-0.00025372224694925603,0.00025372224694925603
EOGScienceGr5_GLP_LEP,0.0002138830282179911,0.0002138830282179911
Exceeds Expected Growth_TCHR_Student Growth_Pct,0.0002111203986405433,0.0002111203986405433
EOGReadingGr4_CACR_Hispanic,-0.0002105396508135949,0.0002105396508135949
SBE District_Northwest,-0.0001873817164316366,0.0001873817164316366
EOGReadingGr3_GLP_SWD,-0.00017738366449296904,0.00017738366449296904
EOGMathGr3-8_CACR_White,0.0001610806033235119,0.0001610806033235119
EOGReadingGr3-8_CACR_AmericanIndian,0.00015207977643436673,0.00015207977643436673
_1_to_1_access_Yes,-0.00013220888333441297,0.00013220888333441297
EOGMathGr5_CACR_Asian,0.00011776307921122298,0.00011776307921122298
expelled_per_c_num,0.00011079654119708392,0.00011079654119708392
EOGMathGr3_CACR_TwoorMoreRaces,8.988675046696717e-05,8.988675046696717e-05
Not Demostrated_TCHR_Standard 1_Pct,7.760157994767447e-05,7.760157994767447e-05
EOG/EOCSubjects_CACR_LEP,7.4546587614336e-05,7.4546587614336e-05
EOGMathGr3-8_CACR_Hispanic,6.967682775070073e-05,6.967682775070073e-05
Not Demostrated_TCHR_Standard 4_Pct,5.575346636938611e-05,5.575346636938611e-05
EOGGr4_CACR_AmericanIndian,-5.22783741999423e-05,5.22783741999423e-05
EOGMathGr3-8_CACR_Black,3.810747897708749e-05,3.810747897708749e-05
EOCSubjects_CACR_AmericanIndian,2.8005041894684553e-05,2.8005041894684553e-05
EOGGr4_CACR_Asian,-1.0167880726728715e-05,1.0167880726728715e-05
EOGGr4_CACR_AIG,-2.401147815682403e-06,2.401147815682403e-06
